	Province/State	Country/Region	Confirmed	Deaths	Recovered	recorded_date
1	Anhui	Mainland China	NA	NA	NA	Jan-21
2	Beijing	Mainland China	10	NA	NA	Jan-21
3	Chongqing	Mainland China	5	NA	NA	Jan-21
4	Guangdong	Mainland China	17	NA	NA	Jan-21
5	Guangxi	Mainland China	NA	NA	NA	Jan-21
6	Guizhou	Mainland China	NA	NA	NA	Jan-21
7	Hainan	Mainland China	NA	NA	NA	Jan-21
8	Heilongjiang	Mainland China	NA	NA	NA	Jan-21
9	Henan	Mainland China	1	NA	NA	Jan-21
10	Hong Kong	Hong Kong	NA	NA	NA	Jan-21
11	Hubei	Mainland China	270	6	25	Jan-21
12	Hunan	Mainland China	1	NA	NA	Jan-21
13	Jiangxi	Mainland China	2	NA	NA	Jan-21
14	Jilin	Mainland China	NA	NA	NA	Jan-21
15	Liaoning	Mainland China	NA	NA	NA	Jan-21
16	Ningxia	Mainland China	NA	NA	NA	Jan-21
17	Shandong	Mainland China	1	NA	NA	Jan-21
18	Shanghai	Mainland China	9	NA	NA	Jan-21
19	Sichuan	Mainland China	2	NA	NA	Jan-21
20	Taiwan	Taiwan	1	NA	NA	Jan-21
21	Tianjin	Mainland China	2	NA	NA	Jan-21
22	Yunnan	Mainland China	1	NA	NA	Jan-21
23	Zhejiang	Mainland China	5	NA	NA	Jan-21
24		Japan	1	NA	NA	Jan-21
25	Washington	US	1	NA	NA	Jan-21
26		South Korea	1	NA	NA	Jan-21
27		Thailand	2	NA	NA	Jan-21
28	Anhui	Mainland China	1	NA	NA	Jan-22
29	Beijing	Mainland China	14	NA	NA	Jan-22
30	Chongqing	Mainland China	6	NA	NA	Jan-22
31	Fujian	Mainland China	1	NA	NA	Jan-22
32	Gansu	Mainland China	NA	NA	NA	Jan-22
33	Guangdong	Mainland China	26	NA	NA	Jan-22
34	Guangxi	Mainland China	2	NA	NA	Jan-22
35	Guizhou	Mainland China	1	NA	NA	Jan-22
36	Hainan	Mainland China	4	NA	NA	Jan-22
37	Hebei	Mainland China	1	NA	NA	Jan-22
38	Heilongjiang	Mainland China	NA	NA	NA	Jan-22
39	Henan	Mainland China	5	NA	NA	Jan-22
40	Hong Kong	Hong Kong	NA	NA	NA	Jan-22
41	Hubei	Mainland China	444	17	28	Jan-22
42	Hunan	Mainland China	4	NA	NA	Jan-22
43	Inner Mongolia	Mainland China	NA	NA	NA	Jan-22
44	Jiangsu	Mainland China	1	NA	NA	Jan-22
45	Jiangxi	Mainland China	2	NA	NA	Jan-22
46	Jilin	Mainland China	NA	NA	NA	Jan-22
47	Liaoning	Mainland China	2	NA	NA	Jan-22
48	Macau	Macau	1	NA	NA	Jan-22
49	Ningxia	Mainland China	1	NA	NA	Jan-22
50	Qinghai	Mainland China	NA	NA	NA	Jan-22
51	Shaanxi	Mainland China	NA	NA	NA	Jan-22
52	Shandong	Mainland China	2	NA	NA	Jan-22
53	Shanghai	Mainland China	9	NA	NA	Jan-22
54	Shanxi	Mainland China	1	NA	NA	Jan-22
55	Sichuan	Mainland China	5	NA	NA	Jan-22
56	Taiwan	Taiwan	1	NA	NA	Jan-22
57	Tianjin	Mainland China	4	NA	NA	Jan-22
58	Tibet	Mainland China	NA	NA	NA	Jan-22
59	Washington	US	1	NA	NA	Jan-22
60	Xinjiang	Mainland China	NA	NA	NA	Jan-22
61	Yunnan	Mainland China	1	NA	NA	Jan-22
62	Zhejiang	Mainland China	10	NA	NA	Jan-22
63		Japan	2	NA	NA	Jan-22
64		Thailand	2	NA	NA	Jan-22
65		South Korea	1	NA	NA	Jan-22
66	Anhui	Mainland China	9	NA	NA	Jan-23
67	Beijing	Mainland China	22	NA	NA	Jan-23
68	Chongqing	Mainland China	9	NA	NA	Jan-23
69	Fujian	Mainland China	5	NA	NA	Jan-23
70	Gansu	Mainland China	2	NA	NA	Jan-23
71	Guangdong	Mainland China	32	NA	2	Jan-23
72	Guangxi	Mainland China	5	NA	NA	Jan-23
73	Guizhou	Mainland China	3	NA	NA	Jan-23
74	Hainan	Mainland China	5	NA	NA	Jan-23
75	Hebei	Mainland China	1	1	NA	Jan-23
76	Heilongjiang	Mainland China	2	NA	NA	Jan-23
77	Henan	Mainland China	5	NA	NA	Jan-23
78	Hong Kong	Hong Kong	2	NA	NA	Jan-23
79	Hubei	Mainland China	444	17	28	Jan-23
80	Hunan	Mainland China	9	NA	NA	Jan-23
81	Inner Mongolia	Mainland China	NA	NA	NA	Jan-23
82	Jiangsu	Mainland China	5	NA	NA	Jan-23
83	Jiangxi	Mainland China	7	NA	NA	Jan-23
84	Jilin	Mainland China	1	NA	NA	Jan-23
85	Liaoning	Mainland China	3	NA	NA	Jan-23
86	Macau	Macau	2	NA	NA	Jan-23
87	Ningxia	Mainland China	1	NA	NA	Jan-23
88	Qinghai	Mainland China	NA	NA	NA	Jan-23
89	Shaanxi	Mainland China	3	NA	NA	Jan-23
90	Shandong	Mainland China	6	NA	NA	Jan-23
91	Shanghai	Mainland China	16	NA	NA	Jan-23
92	Shanxi	Mainland China	1	NA	NA	Jan-23
93	Sichuan	Mainland China	8	NA	NA	Jan-23
94	Taiwan	Taiwan	1	NA	NA	Jan-23
95	Tianjin	Mainland China	4	NA	NA	Jan-23
96	Tibet	Mainland China	NA	NA	NA	Jan-23
97	Washington	US	1	NA	NA	Jan-23
98	Xinjiang	Mainland China	2	NA	NA	Jan-23
